time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,forecast_bucket_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2024-10-13 14:55:22.129047,1c06e368-0af8-4e52-aefd-62ae832e328d,HIGHNY-24OCT13-T72,32617.871,10,3.5,71.759,69.5,40,60,0,-0.241,-2.5,70.5,-2.259,0.0,0.0,0.0,1.162,27.103,40.0,-237.162,-14.021,40,0
2024-10-13 14:57:35.932461,d69f83e3-a305-4f64-aedc-c7fb0f68bce5,HIGHNY-24OCT13-B71.5,32484.068,7,3.0,71.727,69.5,33,67,0,0.227,-2.0,71.5,-2.227,0.0,0.0,0.0,1.046,33.0,36.0,-244.438,27.167,33,0
2024-10-13 14:59:43.349881,d6e3df2a-088f-4d46-ba69-d8878eb168de,HIGHNY-24OCT13-B69.5,32356.65,1,1.0,70.775,69.5,48,52,1,1.275,0.0,69.5,-1.275,0.0,0.0,0.0,48.0,29.7,32.4,-399.227,50.459,52,1
2024-10-13 14:59:43.349881,88a2abc9-12d7-43aa-95b8-94eb3726bd40,HIGHNY-24OCT13-B69.5,32356.65,263,1.0,70.705,69.5,49,51,1,1.205,0.0,69.5,-1.205,0.0,0.0,0.0,49.0,26.73,29.16,-376.879,49.432,51,1
2024-10-13 14:59:43.349881,720b33b6-ccb0-4251-847d-f716a6ca361e,HIGHNY-24OCT13-B69.5,32356.65,3,1.0,70.657,69.5,48,52,1,1.157,0.0,69.5,-1.157,0.0,0.0,0.0,48.0,24.057,26.244,-348.08,50.434,52,1
2024-10-13 15:33:45.049527,e8374f74-e9eb-41da-a311-7b00ff27062e,HIGHNY-24OCT13-B71.5,30314.95,1,3.0,70.916,69.5,61,39,1,-0.584,-2.0,71.5,-1.416,0.0,0.0,0.0,43.2,61.0,23.62,-488.134,-54.745,-61,0
2024-10-13 15:33:45.049527,52df2f19-7bd0-49aa-975a-b652763c377c,HIGHNY-24OCT13-B71.5,30314.95,13,3.0,70.95,69.5,62,38,1,-0.55,-2.0,71.5,-1.45,0.0,0.0,0.0,38.88,62.0,21.258,-463.18,-55.928,-62,0
2024-10-13 15:33:45.049527,3a2858d5-bf03-4eca-b376-b1c968d9ee3b,HIGHNY-24OCT13-B71.5,30314.95,1,3.0,70.971,69.5,60,40,1,-0.529,-2.0,71.5,-1.471,0.0,0.0,0.0,34.992,60.0,19.132,-426.526,-53.985,-60,0
2024-10-13 15:36:16.177472,22493a3e-93b3-4222-8350-8f4028fc3083,HIGHNY-24OCT13-T72,30163.823,103,3.5,71.137,69.5,37,63,1,-0.863,-2.5,70.5,-1.637,0.0,0.0,0.0,31.493,54.0,37.0,-457.652,17.667,-37,0
2024-10-13 15:39:07.117788,ed8d13cc-622c-4c14-9c50-1ecbfd8c6a09,HIGHNY-24OCT13-B69.5,29992.882,2,1.0,70.9,69.5,47,53,1,1.4,0.0,69.5,-1.4,0.0,0.0,0.0,47.0,48.6,33.3,-486.436,51.451,53,1
2024-10-13 15:39:07.117788,e2384cd2-c7ce-4465-aa08-2265e364b7c2,HIGHNY-24OCT13-B69.5,29992.882,3,1.0,70.834,69.5,48,52,1,1.334,0.0,69.5,-1.334,0.0,0.0,0.0,48.0,43.74,29.97,-452.983,50.468,52,1
2024-10-13 15:39:23.837209,41a265a1-b282-4acc-80fb-335650e00b5a,HIGHNY-24OCT13-T72,29976.163,3,3.5,70.718,69.5,17,83,0,-1.282,-2.5,70.5,-1.218,0.0,0.0,0.0,43.2,39.366,17.0,-355.436,-37.68,17,0
2024-10-13 15:45:28.495743,6a1ab4ed-bb21-48c9-83d1-ffaf4b19d9ea,HIGHNY-24OCT13-B71.5,29611.504,22,3.0,70.696,69.5,33,67,0,-0.804,-2.0,71.5,-1.196,0.0,0.0,0.0,38.88,33.0,15.3,-299.44,26.67,33,0
2024-10-13 15:49:21.460358,c88c9b39-e507-4523-9f81-e67ccc490146,HIGHNY-24OCT13-T72,29378.54,13,3.5,70.984,69.5,36,64,1,-1.016,-2.5,70.5,-1.484,0.0,0.0,0.0,34.992,29.7,36.0,-354.124,18.695,-36,0
2024-10-13 15:49:21.565480,31756f46-1ec2-4e1b-8daf-8f81d4bb59a3,HIGHNY-24OCT13-B71.5,29378.435,13,3.0,71.017,69.5,33,67,0,-0.483,-2.0,71.5,-1.517,0.0,0.0,0.0,31.493,33.0,32.4,-336.72,26.653,33,0
2024-10-13 15:49:21.566069,ab179499-34b1-4f34-88e1-1316712274fa,HIGHNY-24OCT13-B69.5,29378.434,13,1.0,70.838,69.5,40,60,0,1.338,0.0,69.5,-1.338,0.0,0.0,0.0,40.0,29.7,29.16,-346.623,-58.434,-60,1
2024-10-13 15:53:59.209173,33c9f68f-e44b-40bc-bfa1-b1455a2a65d0,HIGHNY-24OCT13-B71.5,29100.791,156,3.0,70.882,69.5,33,67,0,-0.618,-2.0,71.5,-1.382,0.0,0.0,0.0,36.0,33.0,26.244,-330.142,26.647,33,0
2024-10-13 15:56:09.372956,920a1ec4-d77c-465e-9628-b0b21370a956,HIGHNY-24OCT13-T72,28970.627,98,3.5,71.061,69.5,40,60,1,-0.939,-2.5,70.5,-1.561,0.0,0.0,0.0,32.4,29.7,40.0,-360.965,14.755,-40,0
